"MIDX","MTITLE","MCONTENT","MPOINT","MDATE","MUSER"
17070978,"강철비2: 정상회담","개봉한지 한달도 안되서 온라인에 풀리는것을 보면 알수있듯이 아무리 영화라지만 시나리오 자체에 미국대통령과 한국 대통령을 납치하고 잠수함에 태운다는 것도 이상하고...미국대통령한데 약물을 주사하여 헤롱헤롱거리게 만들어 자백을 받아내는것도 어이가 없는 등 1편에 비해 너무도 참으로 거시기한 것같다는 생각이 드네요...",1,20200818,17070978
17070977,"시동","연기 너무 잘하고 코믹~~ 감동적!!",10,20200818,17070977
17070976,"컨테이젼","감독님은 예언자",10,20200818,17070976
17070975,"프로젝트 파워","재밌는데? 재밌는데요?",10,20200818,17070975
17070974,"너는 내 운명","가슴이 미어지는 영화 너무 여운 남는다..",10,20200818,17070974
17070973,"탐정 홍길동: 사라진 마을","빨리 2 해줘요ㅠㅠ 뭐야 완전재밌어ㅠ",10,20200818,17070973
17070972,"미스터 주: 사라진 VIP","가족끼리 보기 좋아요~",10,20200818,17070972
17070969,"다만 악에서 구하소서","액션이 멋있음  스토리는 아쉬움",6,20200818,17070969
17070968,"다만 악에서 구하소서","리얼한 액션이 진짜 미쳤다 황정민이랑 이정재가 너무 멋있고 박정민은...진짜 미친거다 그런 연기를 잘하는 배우는 진짜 박정민뿐이다 제발 유이 영상도 풀어주세요..",10,20200818,17070968
17070966,"다만 악에서 구하소서","액션은 아주 좋았는데, 스토리가 허술했어요.",6,20200818,17070966
17070965,"강철비2: 정상회담","적당히좀해라OOO들아",2,20200818,17070965
17070964,"사라진 시간","별점 1점도 아깝고 감상포인트도 없는데 선택해야하니 이또한 아깝다...보면 안될 영화였음.영화보고 화내보긴 오랜만인듯!!",1,20200818,17070964
17070963,"해바라기","이야 이건 그냥 작품그자체 ㅋ",10,20200818,17070963
17070962,"올드 가드","별 1개도 아까움. 뭔 천 년을 넘게 산 놈들이 이렇게 쉽게 쳐잡히냐. 유튜브 광고, 여기 평점 믿지마세요.",1,20200818,17070962
17070961,"미녀 삼총사 3","ㅈㄴ재미없네",1,20200818,17070961
17070960,"어린 신부","24세 여자주인공과 17살 남자주인공으로 똑같이 만들었어도 작품은 작품으로 보라는 소리 나왔겠냐고요ㅋㅋㅋㅋ 생각을 좀 하고 글을 써라",1,20200818,17070960
17070959,"먼 훗날 우리","김치녀 마인드가 없었다면 달라졌을 두 사람. 누구를 탓하리",5,20200818,17070959
17070958,"강철비2: 정상회담","다들 다르군 난 잼썼음. 한국 정치의 역사 + 생생한 잠수함 전투씬 볼 수 있음 잠수함 전투씬은 진째 잼씀 오 이건 굿임",9,20200818,17070958
17070957,"오케이 마담","킬링타임용으로 나쁘지 않음",7,20200818,17070957
17070956,"다만 악에서 구하소서","액션부터 연기까지 뭐하나 빠지는거 없음. 내 기준에 잔인해서 놀랐지만 잘 보는 사람들은 재밌게 볼듯",10,20200818,17070956
17070955,"오케이 마담","역시~ ㅋㅋㅋ 생각했던 데로 재밋었네요 보는내내 즐거웠습니다.",10,20200818,17070955
17070954,"스트레이트 스토리","&lt;엘리펀트 맨&gt; 과 함께 데이빗 린치의 최고작이라고 생각하는 영화. 엄청나게 지루할 수 있는 스토리를 지루하지 않게 만들었다. 감동과 슬픔은 덤. 그리고 리차드 판스워스 할아버지 RIP....",10,20200818,17070954
17070953,"오케이 마담","정남성님 이런 연기 너무 잘해ㅋㅋㅋ 기대안하고 봤는데 꿀잼이네",10,20200818,17070953
17070951,"인랜드 엠파이어","데이비드 린치 감독이 로라 던하고 재미로 영상 찍다가 필 받아서 만들었다는 영화 ㅋㅋㅋㅋ 린치 영화 답게 줄거리도 없고 난해하기만 하지만 나름 독특한 맛은 있다고 본다. &lt;로스트 하이웨이&gt; 보다는 그나마 봐줄만 한 작품이라고 생각",4,20200818,17070951
17070949,"다만 악에서 구하소서","정말 오랜만에 영화 시작부터 끝날때까지 계속 몰입해서 봤어요",10,20200818,17070949
17070948,"유감스러운 도시","유감스런 영화네...",2,20200818,17070948
17070947,"결백","억지감동 좀심하네 별루",4,20200818,17070947
17070946,"강철비2: 정상회담","전형적인 좌파 영화..미, 중, 일 강대국은 무조건 나쁜 놈.북한은 강대국 사이의 피해자.한국하고 북한이 손잡고 강대국 사이에서 킹왕짱이 된다는 어이 없는 국뽕 &amp; 민족주의 영화... 이딴 영화를 2020년에 개봉하다니 한심하네요.게다가 영화판이 얼마나 좌편향이 되었는지 평론가 평점 좀 보세요. 특정성향을 가진 평론가들이 대부분 이 영화를 7점 주면서 잘 만든 영화라고 호평을 하네요 ㅋㅋㅋ와.. 이거 진짜 너무 한거 아닙니까. 이 영화 7점 준 평론가들은 진짜 ""부끄러운 줄 알아야지!!!""",1,20200818,17070946
17070945,"강철비2: 정상회담","영화 잘 만들었구만.재밌게 관람했습니다. 양우석 감독을 비롯해서 정우성과 출연 배우들 멋집니다.한반도 평화를 위해 화이팅~!!",10,20200818,17070945
17070944,"로스트 하이웨이","이 영화를 보면 이해 안 되고 재미 없는게 당연하다. 그러나 이런 걸 보고 대단하다고 해야지 더 멋있어보이니까....",1,20200818,17070944
17070943,"스파이더맨: 파 프롬 홈","MJ 드럽게 못생겨서 진심 등장때마다 깬다",6,20200818,17070943
17070942,"다만 악에서 구하소서","그냥 연기가 아닌, 인남이, 유이, 레이 였어요오랫만에 너무 재미있는 영화를 봤네요.",10,20200818,17070942
17070940,"내가 살인범이다","컨셉이 너무 좋았다. 그리고 이런 시도 자체가 너무 좋았다고 생각한다. 편집,촬영 , 연출 참신한 부분이 많아서 재미있게 봤다.",9,20200818,17070940
17070938,"다만 악에서 구하소서","그냥 저냥 볼만하네요흔한 스토리 입니다",6,20200818,17070938
17070936,"다만 악에서 구하소서","황정민 연기 매번 똑같고.. 이정재는 수양대군 같고.. 박정민은 웃기지도 못함 ㅜㅜ 무엇보다 스토리가 엄청 진부함 ; 이 스토리를 ok하고 영화찍은 배우들이랑, 투자자들이 의아함",5,20200818,17070936
17070935,"다만 악에서 구하소서","2/3만 보고 나오면 딱맞을듯 마지막까지 보면 아쉽다",7,20200818,17070935
17070934,"오케이 마담","초딩용 영화임ㅠ 돈아까움",1,20200818,17070934
17070933,"다만 악에서 구하소서","스토리없고 칼부림끝 실망 깊이가없네",8,20200818,17070933
17070932,"사라진 시간","열린결말을 의도하신거같은데 뭐라도 짐작조차 되야지 그게 열린결말이지 무슨 영화가 보다가 끊거처럼 뚝 끊기네요",1,20200818,17070932
17070931,"언더워터","재밌게만든 영화는 아니다. 뻔하다",6,20200818,17070931
17070930,"다만 악에서 구하소서","기대를 안하고 봤는데도 재미가 없었어요 .. 박정민씨 아니면 평점 이렇게 높진 않을것같아요",6,20200818,17070930
17070929,"다만 악에서 구하소서","딱 중2병걸린 한남들만 좋아라 할 알탕영화 그 이상도 이하도 아님. 여기에 비공다는 놈들은 백퍼 백수한남충임 ㅅㄱ",1,20200818,17070929
17070928,"강철비2: 정상회담","“대한민국의 영토는 한반도와 그 부속도서로 한다.”(헌법 제3조) “대한민국은 통일을 지향하며, 자유민주적 기본질서에 입각한 평화적 통일 정책을 수립하고 이를 추진한다.”(헌법 제4조) 딱 맞아떨어지는 영화 스토리",9,20200818,17070928
17070927,"사자","재밌어요 빨리 다음꺼나와랑",10,20200818,17070927
17070926,"오케이 마담","오케이마담 보면 더위 완전 날려버릴 수 있어요~!! 완전 재밌어요",10,20200818,17070926
